Student       Assign-01       Assign-02       Assign-03       Assign-05       Assign-05       
Leo       59       79       89       88       61       
Melissa       99       53       82       91       69       
Angel       59       83       92       83       66       
Ferdaws       80       94       53       86       59       
Cali       81       68       70       74       55       
Mitchell       95       60       59       72       78       
Ola       87       62       54       59       55       
Ze       64       72       79       96       94       
Alvin       88       85       60       64       52       
Cassandra       91       94       98       74       51       
Nicole       53       60       51       69       95       
Maria       73       56       90       71       97       
Patricia       54       51       68       69       67       
Fady       87       65       97       86       56       
Mohammed       59       66       98       62       64       
